artist_names,rank,song_name,week
Justin Bieber,1,What Do You Mean?,2015-09-19
The Weeknd,2,Can't Feel My Face,2015-09-19
The Weeknd,3,The Hills,2015-09-19
Silento,4,Watch Me,2015-09-19
OMI,5,Cheerleader,2015-09-19
Major Lazer & DJ Snake Featuring MO,6,Lean On,2015-09-19
Selena Gomez Featuring A$AP Rocky,7,Good For You,2015-09-19
Fetty Wap Featuring Remy Boyz,8,679,2015-09-19
R. City Featuring Adam Levine,9,Locked Away,2015-09-19
Skrillex & Diplo With Justin Bieber,10,Where Are U Now,2015-09-19
Demi Lovato,11,Cool For The Summer,2015-09-19
Ed Sheeran,12,Photograph,2015-09-19
Rachel Platten,13,Fight Song,2015-09-19
Fetty Wap,14,Trap Queen,2015-09-19
Taylor Swift,15,Wildest Dreams,2015-09-19
Fetty Wap Featuring Monty,16,My Way,2015-09-19
WALK THE MOON,17,Shut Up And Dance,2015-09-19
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",18,Downtown,2015-09-19
Shawn Mendes,19,Stitches,2015-09-19
Wiz Khalifa Featuring Charlie Puth,20,See You Again,2015-09-19
Taylor Swift Featuring Kendrick Lamar,21,Bad Blood,2015-09-19
Drake,22,Hotline Bling,2015-09-19
One Direction,23,Drag Me Down,2015-09-19
iLoveMemphis,24,Hit The Quan,2015-09-19
Mark Ronson Featuring Bruno Mars,25,Uptown Funk!,2015-09-19
Charlie Puth Featuring Meghan Trainor,26,Marvin Gaye,2015-09-19
Fall Out Boy,27,Uma Thurman,2015-09-19
Meek Mill Featuring Chris Brown & Nicki Minaj,28,All Eyes On You,2015-09-19
Fifth Harmony Featuring Kid Ink,29,Worth It,2015-09-19
Jidenna Featuring Roman GianArthur,30,Classic Man,2015-09-19
Rich Homie Quan,31,Flex (Ooh Ooh Ooh),2015-09-19
Jason Derulo,32,Want To Want Me,2015-09-19
Sam Hunt,33,House Party,2015-09-19
Ed Sheeran,34,Thinking Out Loud,2015-09-19
Andy Grammer,35,"Honey, I'm Good.",2015-09-19
Maroon 5,36,Sugar,2015-09-19
The Weeknd,37,Earned It (Fifty Shades Of Grey),2015-09-19
Omarion Featuring Chris Brown & Jhene Aiko,38,Post To Be,2015-09-19
Drake,39,Back To Back,2015-09-19
X Ambassadors,40,Renegades,2015-09-19
Keith Urban,41,"John Cougar, John Deere, John 3:16",2015-09-19
Fetty Wap,42,Again,2015-09-19
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",43,Hey Mama,2015-09-19
Hailee Steinfeld,44,Love Myself,2015-09-19
Chris Janson,45,Buy Me A Boat,2015-09-19
Thomas Rhett,46,Crash And Burn,2015-09-19
The Weeknd Featuring Lana Del Rey,47,Prisoner,2015-09-19
Luke Bryan,48,Strip It Down,2015-09-19
Jeremih Featuring J. Cole,49,Planez,2015-09-19
Elle King,50,Ex's & Oh's,2015-09-19
Tori Kelly,51,Should've Been Us,2015-09-19
Future Featuring Drake,52,Where Ya At,2015-09-19
Meghan Trainor Featuring John Legend,53,Like I'm Gonna Lose You,2015-09-19
