rank,song_name,week,main_artist_name
1,What Do You Mean?,2015-09-19,justin bieber
2,Can't Feel My Face,2015-09-19,the weeknd
3,The Hills,2015-09-19,the weeknd
4,Watch Me,2015-09-19,silento
5,Cheerleader,2015-09-19,omi
6,Lean On,2015-09-19,major lazer
7,Good For You,2015-09-19,selena gomez
8,679,2015-09-19,fetty wap
9,Locked Away,2015-09-19,r. city
10,Where Are U Now,2015-09-19,skrillex
11,Cool For The Summer,2015-09-19,demi lovato
12,Photograph,2015-09-19,ed sheeran
13,Fight Song,2015-09-19,rachel platten
14,Trap Queen,2015-09-19,fetty wap
15,Wildest Dreams,2015-09-19,taylor swift
16,My Way,2015-09-19,fetty wap
17,Shut Up And Dance,2015-09-19,walk the moon
18,Downtown,2015-09-19,macklemore
19,Stitches,2015-09-19,shawn mendes
20,See You Again,2015-09-19,wiz khalifa
21,Bad Blood,2015-09-19,taylor swift
22,Hotline Bling,2015-09-19,drake
23,Drag Me Down,2015-09-19,one direction
24,Hit The Quan,2015-09-19,ilovememphis
25,Uptown Funk!,2015-09-19,mark ronson
26,Marvin Gaye,2015-09-19,charlie puth
27,Uma Thurman,2015-09-19,fall out boy
28,All Eyes On You,2015-09-19,meek mill
29,Worth It,2015-09-19,fifth harmony
30,Classic Man,2015-09-19,jidenna
31,Flex (Ooh Ooh Ooh),2015-09-19,rich homie quan
32,Want To Want Me,2015-09-19,jason derulo
33,House Party,2015-09-19,sam hunt
34,Thinking Out Loud,2015-09-19,ed sheeran
35,"Honey, I'm Good.",2015-09-19,andy grammer
36,Sugar,2015-09-19,maroon 5
37,Earned It (Fifty Shades Of Grey),2015-09-19,the weeknd
38,Post To Be,2015-09-19,omarion
39,Back To Back,2015-09-19,drake
40,Renegades,2015-09-19,x ambassadors
41,"John Cougar, John Deere, John 3:16",2015-09-19,keith urban
42,Again,2015-09-19,fetty wap
43,Hey Mama,2015-09-19,david guetta
44,Love Myself,2015-09-19,hailee steinfeld
45,Buy Me A Boat,2015-09-19,chris janson
46,Crash And Burn,2015-09-19,thomas rhett
47,Prisoner,2015-09-19,the weeknd
48,Strip It Down,2015-09-19,luke bryan
49,Planez,2015-09-19,jeremih
50,Ex's & Oh's,2015-09-19,elle king
51,Should've Been Us,2015-09-19,tori kelly
52,Where Ya At,2015-09-19,future
53,Like I'm Gonna Lose You,2015-09-19,meghan trainor
54,Tell Your Friends,2015-09-19,the weeknd
55,How Deep Is Your Love,2015-09-19,calvin harris
