listeners,toptags,song_name,main_artist_name
1382353.0,rock:100;indie rock:79;alternative:63;indie:41;i fucking love this song:31;kings of leon:21;alternative rock:17;Sex on Fire:11;sexy:11;Southern Rock:10;00s:7;Awesome:7;sex:6;american:5;2008:5;obsessive repeated listening:4;male vocalists:4;Love it:4;favorites:4;catchy:3;party:3;Love:3;gossip girl:3;pop:3;hot:3;love at first listen:3;best of 2008:2;USA:2;amazing:2;FUCKING AWESOME:2;Driving Songs:2;addictive:2;this band can do no wrong:2;male vocalist:2;british:2;Energetic:2;Favourites:2;dance:2;pop rock:2;genius:2;2000s:2;<3:2;kol:2;completely awesome:2;Garage Rock:2;cool:2;stuck in my head:2;tunes i have played for hours:2;guitar:1;excellent:1;perfect:1;00s rock:1;damn sexy:1;,sex on fire,kings of leon
1003225.0,alternative:100;alternative rock:79;rock:75;radiohead:61;90s:51;british:32;beautiful:26;indie:25;sad:24;Mellow:20;favorites:19;britpop:17;melancholy:16;indie rock:13;melancholic:11;Love:11;acoustic:10;Favorite:8;chillout:8;genius:7;emotional:7;pop:6;experimental:6;UK:6;Fake Plastic Trees:6;Awesome:6;Heartbreaking:6;favorite songs:5;amazing:5;electronic:5;great lyrics:5;1995:5;thom yorke:5;Bittersweet:5;brilliant:5;nostalgia:5;chill:4;Favourites:4;male vocalists:4;Ballad:4;relax:4;nostalgic:4;favourite:3;relaxing:3;loved:3;Progressive rock:3;epic:3;dark:3;soft:3;perfect:3;Soundtrack Of My Life:3;classic rock:3;classic:3;male vocalist:3;lovely:3;Love it:3;best songs ever:3;cathartic:3;melancholia:3;seen live:3;easy listening:3;soft rock:3;haunting:3;ethereal:3;cool:3;gorgeous:3;sad songs:3;lovedbygdchill:3;absolute favorites:3;Favourite Radiohead Songs:3;the highest form of perfection:3;Alternative  Punk:2;melodic:2;moody:2;Perfection:2;Favourite Songs:2;90s Rock:2;All time favourite:2;radiohead - fake plastic trees:2;love songs:2;best song ever:2;alt rock:2;english:2;Masterpiece:2;Slow Rock:2;the bends:2;new wave:2;Experimental Rock:2;guitar:2;england:2;great:2;Sleep:2;nice:2;90's:2;best:2;legend:2;british rock:2;emo:2;downtempo:2;trees:2;,fake plastic trees,radiohead
768069.0,rock:100;alternative:64;limp bizkit:52;Nu Metal:51;alternative rock:48;cover:24;Ballad:15;metal:11;rapcore:11;Behind blue eyes:10;acoustic:9;sad:8;covers:8;Nu-metal:7;classic rock:6;pop:5;hard rock:5;Love:5;melancholy:5;Soundtrack:5;favorites:5;soft rock:5;guitar:5;00s:5;the who:5;rock ballad:4;male vocalists:3;crossover:3;slow:3;alternative metal:3;Limp bizkit - behind blue eyes:3;2003:3;punk rock:3;emotional:3;relax:3;best:3;chill:3;rap metal:3;chillout:2;emo:2;indie rock:2;american:2;Mellow:2;modern rock:2;the who cover:2;memories:2;Awesome:2;90s:2;soft:2;melancholic:2;cool:2;ballads:2;electronic:2;80s:2;pop rock:2;beautiful:2;Favourites:2;Rap-Rock:2;blue eyes:2;gothika:2;Hip-Hop:2;hardcore:2;romantic:2;melodic:2;cover songs:2;Love it:2;rap-metal:2;punk:2;good:2;english:2;FUCKING AWESOME:2;acoustic guitar:2;heavy metal:1;metalcore:1;hip hop:1;favorite songs:1;industrial:1;nice:1;alt rock:1;cool covers:1;lovely:1;2000s:1;power ballads:1;cover song:1;cry:1;who covers:1;,behind blue eyes,limp bizkit
661465.0,indie:100;female vocalists:97;pop:81;soul:56;Lana Del Rey:49;indie pop:29;alternative:25;love at first listen:24;Blue Jeans:23;sexy:11;beautiful:11;american:11;Love:9;chillout:7;10s:7;chill:6;sadcore:6;Mellow:6;amazing:6;Born To Die:6;romantic:5;Dreamy:5;sex:5;female vocalist:5;christian alexander tietgen:5;epic:4;dream pop:4;sensual:4;7 of 10 stars:4;on repeat:4;favorites:3;memories:3;chamber pop:3;Awesome:3;atmospheric:3;singer songwriter:3;alternative pop:3;2011:3;Eargasm:3;best of 2012:3;Dream:3;<3:3;my gang rotw:3;velvet voice:3;video clip:3;i still remember the day we met in december:3;rock:2;sad:2;singer-songwriter:2;slow:2;catchy:2;indiepop:2;haunting:2;3:2;trip hop:2;summer:2;World Music:2;surf rock:2;Ballad:2;road trip:2;addictive:2;perfect:2;2012:2;post pop:2;poprock:2;powerful:2;10 of 10 stars:2;blue:2;sunflower:2;james dean:2;Fly:2;hollywood sadcore:2;laz:2;Love Theme:2;favs 2012:2;stuff I should be able to inject directly into my blood:2;i was listening to this way before you:2;lana:2;Skitz0rz:2;uitluisteren artist:2;emile haynie:2;favourite tracks of all time:2;memory of a love that died:2;the old good american music:2;holloween skitz0rz:2;love you more than those bitches before:2;my favorite sweater:2;we could go together like cocaine and waffles:2;my dance room:2;electronic:1;Classical:1;vocal:1;female:1;folk:1;ambient:1;downtempo:1;dance:1;depressed:1;Queen:1;cute:1;,blue jeans,lana del rey
643233.0,classic rock:100;rock:64;blues:57;Psychedelic Rock:44;The Doors:42;blues rock:29;60s:21;70s:14;psychedelic:13;doors:8;jim morrison:6;oldies:6;blues-rock:5;american:4;roadhouse blues:4;1970:4;hard rock:4;harmonica:4;Acid Rock:4;classic:4;rock n roll:3;Rock and Roll:3;favorites:3;male vocalists:2;USA:2;60's:2;drinking:2;California:2;Favourites:2;Morrison:2;favorite songs:2;singer-songwriter:2;epic:2;Rock  Roll:2;guitar:2;Driving:2;cool:2;pop:2;feel good:2;live:2;classics:2;legend:2;rockin:2;Legendary:2;The Doors - Greatest Hits:2;alternative:1;party:1;groovy:1;road trip:1;drinking tunes:1;sufu5a:1;,roadhouse blues,the doors
635451.0,rock:100;alternative:65;alternative rock:50;indie:43;indie rock:35;Garage Rock:26;The White Stripes:20;00s:11;hard rock:10;white stripes:10;blues rock:8;american:8;favorites:7;blue orchid:7;guitar:6;jack white:6;2005:6;catchy:5;garage:5;Favourites:4;punk:4;Love:4;blues:4;cool:4;classic rock:4;seen live:4;Awesome:3;FUCKING AWESOME:3;pop:3;blues-rock:3;metal:2;Progressive rock:2;loud:2;party:2;Good Stuff:2;the White Stripes - Blue Orchid:2;Grunge:2;heavy:2;energy:2;dark:2;garage rock revival:2;Retro:2;modern rock:2;male vocalists:2;love at first listen:2;rockin:2;meg white:2;White Stripes - Blue Orchid:2;favorite songs:2;sexy:2;Stoner Rock:2;power:2;Lo-Fi:2;modern:2;funk:2;fun:2;Favorite:2;Guitar Hero:2;2000s:2;wrif-fm:2;awesome songs:2;stripes:2;blue orchid white stripes:2;,blue orchid,the white stripes
632340.0,80s:100;new wave:73;electronic:54;dance:32;synthpop:31;new order:15;synth pop:12;post-punk:12;alternative:10;electronica:10;pop:9;british:8;blue monday:6;Manchester:6;indie:6;electro:6;rock:6;classic:4;1983:4;party:4;synth:3;electropop:3;techno:3;UK:3;favorites:3;britpop:3;Disco:3;Post punk:2;80's:2;Favourites:2;synth-pop:2;male vocalists:2;Awesome:2;1980s:2;Soundtrack:2;Love:2;new order - blue monday:2;cool:2;80er:2;seen live:2;alternative rock:2;factory:2;Favorite:2;i am a party girl here is my soundtrack:2;english:2;classics:2;New Order Blue Monday:2;classic rock:1;favorite songs:1;indie pop:1;club:1;loved:1;alternative dance:1;memories:1;dark:1;Retro:1;amazing:1;old school:1;groovy:1;madchester:1;electro-pop:1;Joy Division:1;,blue monday,new order
621017.0,electronic:100;chillout:62;ambient:49;Moby:40;electronica:35;dance:15;alternative:14;90s:13;pop:9;lounge:8;techno:8;chill:7;downtempo:7;trip-hop:7;blues:6;relax:6;natural blues:6;trance:5;favorites:4;american:4;rock:4;Mellow:4;electro:3;relaxing:3;sad:3;easy listening:3;chill out:3;beautiful:2;atmospheric:2;trip hop:2;melancholy:2;gospel:2;cool:2;00s:2;soul:2;smooth:2;melancholic:2;samples:2;1999:2;Moby - Natural Blues:2;seen live:2;Awesome:2;ElectronicaDance:2;amayzes loved:2;experimental:1;USA:1;new wave:1;House:1;amazing:1;good:1;magic trip:1;,natural blues,moby
600231.0,classic rock:100;70s:47;rock:46;hard rock:28;cowbell:22;Blue Oyster Cult:11;Supernatural:9;more cowbell:8;heavy metal:6;Progressive rock:5;oldies:5;needs more cowbell:4;halloween:4;1976:3;Psychedelic Rock:3;Dont Fear the Reaper:3;favorites:3;Soundtrack:2;classic:2;guitar:2;male vocalists:2;favorite songs:2;death:2;american:2;Awesome Guitar Jams:2;pop:2;rock band:2;1970s:2;snl:2;80s:2;soft rock:2;Awesome:2;Favourites:2;Rolling Stone 500 Greatest Songs of All Time:2;70's:2;BoC:2;Songs that totaly rule:2;the pitchfork 500:2;Morose Deep dilate Crimson:2;sufu5a:2;,(don't fear) the reaper,blue öyster cult
537888.0,country:100;folk:34;Johnny Cash:34;singer-songwriter:20;blues:17;classic country:12;americana:8;rockabilly:8;rock:7;oldies:7;classic rock:6;50s:6;cash:6;prison:5;60s:4;american:4;classic:4;live:4;favorites:4;acoustic:4;folsom prison blues:3;Alt-country:3;Rock and Roll:3;guitar:2;outlaw country:2;male vocalist:2;male vocalists:2;Favorite:2;folk rock:2;folsom prison:2;rock n roll:2;trains:2;Favourites:2;crime:2;male vocals:2;legend:2;1956:2;Traditional Country:2;american i like:2;jonny cash:2;favorite songs:1;Awesome:1;skins:1;police and thieves:1;MetroHadriani Loves this music:1;,folsom prison blues,johnny cash
