main_artist_id,main_artist_name,popularity,song_id,song_length,song_name
7jefIIksOi1EazgRTfW2Pk,electric light orchestra,81,2RlgNHKcydI9sayD2Df2xp,303373,mr. blue sky
1HBjj22wzbscIZ9sEb5dyf,jonas blue,81,47OVNnZJzIkrsEiZ4n187p,184133,mama
2qk9voo8llSGYcZ6xrBzKx,kings of leon,79,0ntQJM78wzOLVeCUAW7Y45,203346,sex on fire
1E2AEtxaFaJtH0lO7kgNKw,russell dickerson,78,6Axy0fL3FBtwx2rwl4soq9,211240,blue tacoma
0u2FHSq3ln94y5Q57xazwf,keith urban,78,6wycnu8FWXsj68ig7BEot9,230600,blue ain't your color
6vWDO969PvNqNYHIOW5v0m,beyoncé,78,1z6WtY7X4HQJvzxC4UgkSf,267413,love on top
0UpuH5U4nZ3UGGUJi0Zfbp,blue swede,77,6Ac4NVYYl2U73QiTt11ZKd,172866,hooked on a feeling
43ZHCT0cAZBISjO8DG9PnE,elvis presley,76,44AyOl4qVkzS48vBsbNXaC,179773,can't help falling in love
00tVTdpEhQQw1bqdu8RCx2,blue öyster cult,75,5QTxFnGygVM4jFQiBovmRo,308120,(don't fear) the reaper
1HBjj22wzbscIZ9sEb5dyf,jonas blue,75,2mCF8L0brIs88eH6Kf2h9p,212424,fast car - radio edit
3DiDSECUqqY1AuBP8qtaIa,alicia keys,74,4esOae7i4rqTbAu9o5Pxco,224920,girl on fire
2TL8gYTNgD6nXkyuUdDrMg,jasmine thompson,74,7pJ4iEOOwUEzO3m9Hh3Ojr,174733,old friends - jonas blue remix
17lzZA2AlOHwCwFALHttmp,2 chainz,74,67gmXPQZL1ISSh13OJJ1Pu,308733,blue cheese
0epOFNiUfyON9EYx7Tpr6V,the strokes,73,57Xjny5yNzAcsxnusKmAfA,219753,reptilia
3WGpXCj9YhhfX11TToZcXP,troye sivan,72,1cOyWWUr3oXJIxY0AjJEx9,185194,youth
64rxQRJsLgZwHHyWKB8fiF,eiffel 65,72,2yAVzRiEQooPEJ9SYx11L3,283747,blue (da ba dee) - dj ponte ice pop radio
1n2pb9Tsfe4SwAjmUac6YT,jake owen,72,3ts6xK5GzfMAAriT9AIBmP,167426,barefoot blue jean night
4DZGvSv2oMkBUnPz67E6z6,david nail,72,5y2pNuAvWcPKiORZ12e44S,189733,night's on fire
7BMccF0hQFBpP6417k1OtQ,action bronson,71,7gDwRzJhLs0fFHaGtMDJVM,280160,baby blue (feat. chance the rapper)
2YZyLoL8N0Wb9xBt1NhZWg,kendrick lamar,71,2HbKqm4o0w5wEeEFXm2sD4,386906,money trees
1HBjj22wzbscIZ9sEb5dyf,jonas blue,71,51NBMjiv4t1nUiLC9Bim3G,201254,by your side
3kjuyTCjPG1WMFCiyc5IuB,arcade fire,70,0SaEmR2rdtfsZawPjMYkWg,353240,put your money on me
1HBjj22wzbscIZ9sEb5dyf,jonas blue,70,1Te8WIfLudxjHTr66BL0JK,196613,perfect strangers
0RpddSzUHfncUWNJXKOsjy,neon trees,70,3528IXKpbb7OMjdjWYlbfD,177280,everybody talks
4Z8W4fKeB5YxbusRsdQVPb,radiohead,70,045sp2JToyTaaKyXkGejPy,290706,fake plastic trees
3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,70,3PzsbWSQdLCKDLxn7YZfkM,155880,i'm on fire
3grHWM9bx2E9vwJCdlRv9O,kenny chesney,70,7AclP0W2jy6yrbvBiC4prQ,217466,setting the world on fire
3YQKmKGau1PzlVlkL1iodx,twenty one pilots,69,1yf97yL1ll8FYXC27c9VTw,267386,trees
20sxb77xiYeusSH8cVdatc,meek mill,69,7Gs3otHnZDq514kFHf0nx7,227808,blue notes
1UTPBmNbXNTittyMJrNkvw,blake shelton,69,0gY2iq0xJPRoIB1PScKSw4,210720,honey bee
0yNLKJebCb8Aueb54LYya3,new order,69,1RSy7B2vfPi84N80QJ6frX,450800,blue monday - 2015 remastered version
3vsVCHUe68gqUMIZwaVUIK,aisha badru,68,45RX9we2ExTAPtPmHRJT9C,194320,mind on fire
3b8QkneNDz4JHKKKlLgYZg,florida georgia line,68,0H9Q7Vzu8nYRDBZYKbtU8d,193640,sippin’ on fire
00tVTdpEhQQw1bqdu8RCx2,blue öyster cult,68,3fkPMWQ6cBNBLuFcPyMS8s,271000,burnin' for you
3kjuyTCjPG1WMFCiyc5IuB,arcade fire,68,0KWcRXcnGoB0gWSu4mshF8,242373,electric blue
4kI8Ie27vjvonwaB2ePh8T,portugal. the man,67,4WMuY659P2MKnoW40oGXe8,249746,purple yellow red and blue
6deZN1bslXzeGvOLaLMOIF,nickelback,67,7FUX19WiWdxTHMEe1Y43vc,230878,song on fire
0kbYTNQb4Pb1rPbbaF0pT4,miles davis,67,0aWMVrwxPNYkKmFthzmpRi,337733,blue in green
3WGpXCj9YhhfX11TToZcXP,troye sivan,67,0tjfognbowyFM3RHTdxjPK,220402,fools
5DYAABs8rkY9VhwtENoQCz,gavin degraw,66,1LWEjUzrngRXdUBaf7GWYI,218631,she sets the city on fire
2bA6fzP0lMAQ4kz6CF61w8,toby keith,66,0M7mWKqwTIaVjYyxfZmtTa,195533,"courtesy of the red, white and blue (the angry american)"
0RpddSzUHfncUWNJXKOsjy,neon trees,66,1fBl642IhJOE5U319Gy2Go,212293,animal
2pdvghEHZJtgSXZ7cvNLou,"crosby, stills & nash",66,2PuUFT13yCzUOZun94WOXv,444053,suite: judy blue eyes - remastered
0vn7UBvSQECKJm2817Yf1P,james taylor,66,69l8nFPu0LWmnoJX7YSVYc,268706,you've got a friend
1I7oHjCjMrMUz66v67yJJu,joshua hyslop,66,2YdU9FRM7fYiZ9B2KOUIpl,261640,the flood
6v8FB84lnmJs434UJf2Mrm,neil young,65,6VltRkmJbCTqgKrTHk4Ulw,227705,"my my, hey hey (out of the blue)"
3crnzLy8R4lVwaigKEOz7V,e-40,65,5vIu19A3EEdHgFM4Cba6F4,272720,choices (yup)
59jD9qllQjcxvBMV5YqyUh,high blue sky,65,2RcOnnCmS9PEALbqPmP4EX,189211,temptation
1HBjj22wzbscIZ9sEb5dyf,jonas blue,65,2o5woNaj4eQXCwbrJ001A2,192277,mama - acoustic
2YOYua8FpudSEiB9s88IgQ,yung gravy,65,6d8MHAb3LSuAz42yyDM4q1,130923,1 thot 2 thot red thot blue thot
3WGpXCj9YhhfX11TToZcXP,troye sivan,65,2HWWsTZxnLSUdFZ4gjsP5N,227871,wild
2HOMW1liAxI3URnEq95SMS,missio,65,6AvslIXIi9iaGvukefyVVK,231586,bottom of the deep blue sea
1UTPBmNbXNTittyMJrNkvw,blake shelton,65,0w9LJae3sVlZlH2CnxTInF,229533,god gave me you
5g3uG8zZZANGT6YOssgjfC,lenka,65,1MKfplOg9xC8EIzL9nMBWi,206423,blue skies - revoke remix
3AA28KZvwAUcZuOKwyblJQ,gorillaz,65,04zxGiXcmNQ0m9oDXtwo18,277053,busted and blue
6TcnmlCSxihzWOQJ8k0rNS,third eye blind,65,1sxUaLi0G2vB7dl4ogtCxH,237240,never let you go - 2008 version
3WGpXCj9YhhfX11TToZcXP,troye sivan,64,0nRuVPZx2iA3KWR4xSzryl,237464,talk me down
00FQb4jTyendYWaN8pK0wa,lana del rey,64,2lFTzUnuGaWlWHJQokjRyb,209440,blue jeans
43ZHCT0cAZBISjO8DG9PnE,elvis presley,64,47gmoUrZV3w20JAnQOZMcO,119200,blue suede shoes
